genre,age_group,popularity,producer
Comedy,26-35,996,Visual novel
Sci-Fi,26-35,444,Manga
Action,26-35,369,Manga
Harem,26-35,496,Visual novel
Adventure,26-35,301,Light novel
Action,26-35,1251,Light novel
Action,26-35,122,Light novel
Action,26-35,375,Light novel
Action,26-35,17,Light novel
Action,26-35,120,Manga
Action,26-35,197,Novel
Action,26-35,189,Light novel
Action,26-35,168,Light novel
Action,26-35,461,Light novel
Action,26-35,1730,Manga
Adventure,26-35,1191,Manga
Action,26-35,2053,Manga
Action,26-35,1392,Manga
Comedy,26-35,1425,Manga
Adventure,26-35,3794,Unknown
Comedy,26-35,2452,Visual novel
Action,26-35,2912,Manga
Comedy,26-35,1834,Manga
Action,26-35,1070,Other
Action,26-35,2707,Manga
Adventure,26-35,1133,Manga
Action,26-35,264,Manga
Comedy,26-35,2175,Unknown
Action,26-35,3773,Original
Action,26-35,2976,Original
Action,26-35,2716,Manga
Action,26-35,743,Original
Action,26-35,4000,Manga
Action,26-35,595,Manga
Action,26-35,1325,Original
Action,26-35,1247,Manga
Action,26-35,550,Visual novel
Action,26-35,1441,Manga
Action,26-35,773,Visual novel
Action,26-35,476,Original
Action,26-35,1351,Visual novel
Action,26-35,1819,Manga
Comedy,26-35,923,Light novel
Action,26-35,1014,Manga
Action,26-35,491,Manga
Action,26-35,671,Light novel
Comedy,26-35,361,Light novel
Action,26-35,1490,Manga
Action,26-35,178,Light novel
Action,26-35,236,Game
Action,26-35,477,Original
Action,26-35,1942,Manga
Action,26-35,1462,Manga
Action,26-35,1055,Light novel
Sports,26-35,1943,Original
Action,26-35,837,Manga
Action,26-35,847,Original
Action,26-35,732,Light novel
Comedy,26-35,205,Manga
Comedy,26-35,446,Light novel
Action,26-35,1479,Manga
Action,26-35,420,Light novel
Action,26-35,1543,Manga
Action,26-35,600,Original
Action,26-35,619,Manga
Adventure,26-35,3495,Manga
Action,26-35,669,Manga
Historical,26-35,973,Other
Action,26-35,2612,Manga
Action,26-35,2288,Manga
Comedy,26-35,1398,Original
Adventure,26-35,4271,Original
Adventure,26-35,2263,Original
Military,26-35,671,Novel
Action,26-35,2382,Original
Action,26-35,3096,Manga
Adventure,26-35,2817,Original
Action,26-35,4454,Manga
Action,26-35,4464,Original
Action,26-35,4840,Manga
Action,26-35,1209,Manga
Action,26-35,1727,Manga
Action,26-35,3365,Manga
Action,26-35,5904,Other
Action,26-35,397,Manga
Action,26-35,1306,Visual novel
Comedy,26-35,925,Manga
Sci-Fi,26-35,1250,Manga
